dataset,epoch,loss,ssim,psnr,mse,timestamp
dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/jaw_50.pickle,30,"[2.7528665e-06 1.8781495e-06 3.0803722e-06 ... 2.5823147e-06 4.2141896e-06
 4.1792691e-06]",0.579,25.256,58.669,2025-05-02 13:27:42
data/ct_data/jaw_50.pickle,31,"[3.3257995e-06 4.0049413e-06 3.3830538e-06 ... 2.4492037e-06 3.3275483e-06
 2.4729916e-06]",0.579,25.577,60.518,2025-05-02 13:27:53
data/ct_data/jaw_50.pickle,32,"[3.8548706e-06 3.6904553e-06 3.8418070e-06 ... 3.9812671e-06 4.4777339e-06
 4.2947045e-06]",0.577,25.101,59.1,2025-05-02 13:28:00
data/ct_data/jaw_50.pickle,33,"[3.8083560e-06 4.9245714e-06 7.8080539e-06 ... 4.7181161e-06 3.3915235e-06
 5.2995574e-06]",0.586,25.734,58.619,2025-05-02 13:28:07
data/ct_data/jaw_50.pickle,34,"[2.0552577e-06 4.4764456e-06 5.0060357e-06 ... 5.0426693e-06 4.2893794e-06
 5.6046160e-06]",0.583,25.398,57.455,2025-05-02 13:28:14
data/ct_data/jaw_50.pickle,35,"[4.5822926e-06 2.9879791e-06 3.4900377e-06 ... 3.6503773e-06 5.7386978e-06
 2.7849967e-06]",0.595,26.073,56.921,2025-05-02 13:28:21
data/ct_data/jaw_50.pickle,36,"[3.4365873e-06 3.3318790e-06 6.7314186e-06 ... 3.1708828e-06 3.8442345e-06
 3.2446267e-06]",0.592,25.89,55.238,2025-05-02 13:28:28
data/ct_data/jaw_50.pickle,37,"[2.9439648e-06 2.1166429e-06 2.2993836e-06 ... 2.8362622e-06 3.2098424e-06
 3.3814797e-06]",0.602,26.464,54.899,2025-05-02 13:28:35
data/ct_data/jaw_50.pickle,38,"[1.8173082e-06 3.0427386e-06 3.1605189e-06 ... 3.7327950e-06 2.3145033e-06
 2.8022189e-06]",0.599,26.352,53.17,2025-05-02 13:28:42
data/ct_data/jaw_50.pickle,39,"[1.9401496e-06 2.7763838e-06 2.0708405e-06 ... 2.4309891e-06 3.2590719e-06
 3.1595796e-06]",0.605,26.743,53.452,2025-05-02 13:28:49
