dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/foot_50.pickle,0,"[3.98693373e-05 3.27547932e-05 6.03131812e-05 ... 1.00413476e-04
 4.42917080e-05 1.07203057e-04]",0.6519,15.6637,36.5612,2025-05-04 18:59:33
data/ct_data/foot_50.pickle,1,"[1.1156101e-05 1.6927987e-05 7.0333731e-06 ... 1.0280321e-05 2.2722668e-05
 1.8296700e-05]",0.6501,16.4711,37.2526,2025-05-04 19:00:46
data/ct_data/foot_50.pickle,2,"[2.4915691e-05 1.5982054e-05 9.1303000e-06 ... 1.4954442e-05 6.9186640e-06
 7.9220154e-06]",0.6679,18.2978,34.9971,2025-05-04 19:01:58
data/ct_data/foot_50.pickle,3,"[9.4352990e-06 5.4612437e-06 1.4782190e-05 ... 8.7034769e-06 9.3388198e-06
 1.1069412e-05]",0.6721,18.9629,36.5098,2025-05-04 19:03:11
data/ct_data/foot_50.pickle,4,"[6.7924207e-06 4.1608928e-06 4.4984713e-06 ... 8.8070883e-06 1.0689983e-05
 4.1494450e-06]",0.7057,20.0717,31.9089,2025-05-04 19:04:23
data/ct_data/foot_50.pickle,5,"[5.5222154e-06 5.2654550e-06 9.7725479e-06 ... 3.1553377e-06 6.6810758e-06
 6.3481398e-06]",0.6855,20.5097,34.3681,2025-05-04 19:05:36
data/ct_data/foot_50.pickle,6,"[4.8191664e-06 6.6520502e-06 4.8062361e-06 ... 2.5192851e-06 5.2771256e-06
 4.3275013e-06]",0.7067,20.7311,32.4966,2025-05-04 19:06:48
data/ct_data/foot_50.pickle,7,"[1.6421495e-06 4.5192205e-06 5.7301654e-06 ... 2.4631836e-06 2.6569260e-06
 6.3935936e-06]",0.7224,22.5327,30.1155,2025-05-04 19:08:01
data/ct_data/foot_50.pickle,8,"[7.8853354e-06 2.5846603e-06 4.9522832e-06 ... 8.2440107e-07 6.7348615e-06
 4.1568846e-06]",0.7165,22.5467,31.1416,2025-05-04 19:09:14
data/ct_data/foot_50.pickle,9,"[2.9595519e-06 2.9641762e-06 2.4925769e-06 ... 3.6925378e-06 1.3953889e-06
 6.8556674e-06]",0.7399,23.979,27.8204,2025-05-04 19:11:43
data/ct_data/foot_50.pickle,10,"[3.3679271e-06 5.8075202e-06 1.7340764e-06 ... 2.1898779e-06 3.8395829e-06
 1.8660689e-06]",0.7316,23.9062,29.082,2025-05-04 19:28:44
data/ct_data/foot_50.pickle,11,"[2.2009792e-06 2.6039627e-06 7.0682489e-07 ... 2.8823874e-06 2.1832034e-06
 2.0926173e-06]",0.7474,24.6143,27.0217,2025-05-04 19:30:09
data/ct_data/foot_50.pickle,12,"[3.3085264e-06 3.2271387e-06 1.8143147e-06 ... 1.0169995e-06 1.2117844e-06
 5.1239626e-06]",0.7452,24.6687,27.4951,2025-05-04 19:31:21
data/ct_data/foot_50.pickle,13,"[1.3685262e-06 6.8542681e-07 2.5946908e-06 ... 1.3808233e-06 1.6366935e-06
 3.7841114e-06]",0.7569,25.1592,26.1472,2025-05-04 19:32:34
data/ct_data/foot_50.pickle,14,"[2.1181399e-06 1.7838189e-06 1.9056206e-06 ... 2.0835637e-06 8.3428364e-07
 4.0513360e-06]",0.7597,25.4101,25.6768,2025-05-04 19:33:48
data/ct_data/foot_50.pickle,15,"[9.7570660e-07 2.2555002e-06 2.3139980e-06 ... 1.4056209e-06 1.4906630e-06
 2.3725192e-06]",0.7635,25.5407,25.5022,2025-05-04 19:35:00
data/ct_data/foot_50.pickle,16,"[1.6471306e-06 8.3908060e-07 4.9497493e-07 ... 8.3876336e-07 1.4141031e-06
 2.2787799e-06]",0.7657,25.719,25.2207,2025-05-04 19:36:13
data/ct_data/foot_50.pickle,17,"[3.9674396e-06 7.3438582e-07 1.7940229e-06 ... 2.9102489e-07 8.8212670e-07
 1.6615347e-06]",0.7699,25.8175,25.1361,2025-05-04 19:37:25
data/ct_data/foot_50.pickle,18,"[9.6504607e-07 1.0721977e-06 5.4635052e-07 ... 1.1301123e-06 2.7822739e-07
 2.0028742e-06]",0.7682,25.8968,25.2099,2025-05-04 19:38:37
data/ct_data/foot_50.pickle,19,"[1.0545270e-06 4.9807812e-07 9.1520286e-07 ... 1.0427177e-06 1.8181096e-06
 1.2014046e-06]",0.7719,26.0166,24.9946,2025-05-04 19:50:05
data/ct_data/foot_50.pickle,20,"[1.6689063e-06 1.7219460e-06 1.7179855e-06 ... 1.5062727e-06 8.6518196e-07
 7.3746526e-07]",0.772,26.0558,25.0497,2025-05-04 20:07:27
data/ct_data/foot_50.pickle,21,"[1.7667522e-06 9.6015026e-07 7.7885232e-07 ... 6.5136686e-07 5.5608967e-07
 1.0097560e-06]",0.772,26.1788,25.0388,2025-05-04 20:09:52
