dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/chest_50.pickle,30,"[9.6750659e-07 6.3550056e-07 1.1971064e-06 ... 9.5164825e-07 5.8865976e-07
 1.2329928e-06]",0.723,25.04,45.649,2025-05-03 22:56:51
data/ct_data/chest_50.pickle,31,"[1.6552310e-06 7.3159669e-07 8.5638806e-07 ... 6.6435649e-07 1.7536262e-06
 1.3476324e-06]",0.736,25.441,43.85,2025-05-03 22:58:43
data/ct_data/chest_50.pickle,32,"[1.3297719e-06 6.2416751e-07 3.3375736e-07 ... 5.4656039e-07 5.3229866e-07
 6.9357077e-07]",0.74,25.596,41.93,2025-05-03 23:00:36
data/ct_data/chest_50.pickle,33,"[7.2088426e-07 2.4725031e-07 4.6890244e-07 ... 5.7189237e-07 5.3235919e-07
 8.7213795e-07]",0.745,25.738,41.656,2025-05-03 23:18:42
data/ct_data/chest_50.pickle,34,"[8.1868484e-07 7.9830500e-07 2.5607821e-07 ... 3.0355457e-07 6.9275347e-07
 4.4212814e-07]",0.749,25.879,40.462,2025-05-03 23:35:55
data/ct_data/chest_50.pickle,35,"[8.1011393e-07 5.5833931e-07 2.5729062e-07 ... 4.2905091e-07 4.1248751e-07
 5.7411160e-07]",0.753,25.983,39.836,2025-05-03 23:37:42
data/ct_data/chest_50.pickle,36,"[5.5858652e-07 3.5202586e-07 3.4642304e-07 ... 3.1313343e-07 4.1788081e-07
 6.3396351e-07]",0.757,26.097,38.76,2025-05-03 23:55:03
data/ct_data/chest_50.pickle,37,"[5.0443458e-07 5.1207797e-07 3.5021006e-07 ... 5.5726508e-07 3.9901622e-07
 6.6354238e-07]",0.759,26.152,39.151,2025-05-03 23:56:50
data/ct_data/chest_50.pickle,38,"[3.7847482e-07 5.2312697e-07 5.0486580e-07 ... 4.1541728e-07 2.4411113e-07
 4.1504245e-07]",0.762,26.245,39.109,2025-05-03 23:58:36
data/ct_data/chest_50.pickle,39,"[8.7930204e-07 4.0057358e-07 4.9504024e-07 ... 5.1190688e-07 4.0380613e-07
 4.6647597e-07]",0.762,26.264,38.594,2025-05-04 00:00:24
data/ct_data/chest_50.pickle,40,"[4.4717865e-07 3.3673558e-07 2.0148946e-07 ... 8.4835386e-07 4.0638392e-07
 3.7495994e-07]",0.766,26.367,38.26,2025-05-04 00:02:10
