dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/jaw_50.pickle,29,"[5.0508174e-07 9.2711605e-07 6.9237774e-07 ... 5.8506657e-07 8.2223562e-07
 7.2651341e-07]",0.6992,29.2871,36.2118,2025-05-05 08:33:23
data/ct_data/jaw_50.pickle,30,"[5.9188409e-07 7.0600822e-07 6.0541731e-07 ... 3.3899775e-07 6.0487440e-07
 1.3715825e-06]",0.7018,29.35,35.9237,2025-05-05 08:34:39
data/ct_data/jaw_50.pickle,31,"[1.3484531e-06 3.0212664e-07 3.9404091e-07 ... 3.4386397e-07 6.6934268e-07
 7.4912538e-07]",0.7023,29.399,36.0681,2025-05-05 08:36:09
data/ct_data/jaw_50.pickle,32,"[3.7061378e-07 6.2195716e-07 5.7073100e-07 ... 7.5578845e-07 8.2163797e-07
 1.0805936e-06]",0.7057,29.464,35.4937,2025-05-05 08:37:24
data/ct_data/jaw_50.pickle,33,"[8.7966168e-07 2.3260550e-07 3.8393893e-07 ... 8.4002852e-07 4.7908054e-07
 7.2202994e-07]",0.7086,29.4989,35.3048,2025-05-05 08:38:42
data/ct_data/jaw_50.pickle,34,"[8.2773323e-07 6.1434855e-07 6.5911183e-07 ... 7.0214520e-07 6.2941649e-07
 7.5912163e-07]",0.7122,29.5689,34.8564,2025-05-05 08:39:57
data/ct_data/jaw_50.pickle,35,"[1.3398233e-06 8.9669118e-07 5.9552070e-07 ... 3.8879767e-07 3.7755439e-07
 7.3071300e-07]",0.7128,29.5888,34.9248,2025-05-05 08:41:11
data/ct_data/jaw_50.pickle,36,"[8.6905811e-07 5.0143427e-07 3.0073625e-07 ... 4.7786926e-07 6.3260728e-07
 7.1005985e-07]",0.715,29.6451,34.6447,2025-05-05 08:42:25
data/ct_data/jaw_50.pickle,37,"[6.7199892e-07 3.8566512e-07 2.6272187e-07 ... 3.2959318e-07 5.7784308e-07
 7.4937651e-07]",0.715,29.6688,34.8167,2025-05-05 08:43:39
data/ct_data/jaw_50.pickle,38,"[6.7159021e-07 8.0613808e-07 9.1566210e-07 ... 6.3934544e-07 4.1592475e-07
 5.0075960e-07]",0.7176,29.6913,34.5239,2025-05-05 08:44:54
data/ct_data/jaw_50.pickle,39,"[6.7986940e-07 8.0183156e-07 5.2653633e-07 ... 5.8186174e-07 2.8654421e-07
 3.2044451e-07]",0.7161,29.702,34.9314,2025-05-05 08:46:09
data/ct_data/jaw_50.pickle,40,"[4.4523148e-07 5.6870942e-07 7.1890156e-07 ... 3.6119530e-07 5.3108829e-07
 9.9299268e-07]",0.7204,29.7639,34.2238,2025-05-05 08:47:30
data/ct_data/jaw_50.pickle,41,"[5.8191387e-07 3.9796058e-07 2.9260826e-07 ... 5.4790030e-07 4.7680064e-07
 1.1253386e-06]",0.7211,29.8266,34.2526,2025-05-05 08:49:00
data/ct_data/jaw_50.pickle,42,"[4.2064147e-07 6.3175486e-07 2.5419504e-07 ... 5.1244137e-07 5.8258286e-07
 3.8324364e-07]",0.7203,29.7982,34.39,2025-05-05 08:50:19
data/ct_data/jaw_50.pickle,43,"[8.4896368e-07 2.7128368e-07 4.6678321e-07 ... 6.8178042e-07 5.6369311e-07
 9.2706284e-07]",0.7235,29.8686,34.1099,2025-05-05 08:51:36
data/ct_data/jaw_50.pickle,44,"[9.1468377e-07 4.8429848e-07 5.2750482e-07 ... 4.0519092e-07 4.1380960e-07
 6.6391345e-07]",0.7238,29.8631,33.9235,2025-05-05 08:52:58
data/ct_data/jaw_50.pickle,45,"[9.1659155e-07 4.0612289e-07 4.4240906e-07 ... 5.1206024e-07 1.3568393e-06
 6.6299464e-07]",0.7225,29.8589,34.3061,2025-05-05 08:54:16
data/ct_data/jaw_50.pickle,46,"[7.8013733e-07 5.3352272e-07 6.2571917e-07 ... 3.4892048e-07 5.4877256e-07
 1.6615890e-06]",0.7274,29.868,33.6702,2025-05-05 08:55:31
data/ct_data/jaw_50.pickle,47,"[7.312399e-07 7.030052e-07 4.475709e-07 ... 5.680306e-07 4.626008e-07
 9.668876e-07]",0.7253,29.8942,33.8916,2025-05-05 08:56:50
data/ct_data/jaw_50.pickle,48,"[5.1092883e-07 5.1077802e-07 6.0120101e-07 ... 3.3958128e-07 3.8827758e-07
 9.0802644e-07]",0.7304,29.9364,33.3475,2025-05-05 08:58:07
data/ct_data/jaw_50.pickle,49,"[6.5938673e-07 5.3522893e-07 4.3280218e-07 ... 5.0402303e-07 4.0260392e-07
 4.4130493e-07]",0.7248,29.9272,33.8994,2025-05-05 08:59:25
data/ct_data/jaw_50.pickle,50,"[8.4499715e-07 5.6901382e-07 1.0465720e-06 ... 9.3939479e-07 6.3394918e-07
 8.6277169e-07]",0.7304,29.97,33.3571,2025-05-05 09:00:43
data/ct_data/jaw_50.pickle,51,"[7.2199515e-07 8.4591898e-07 6.6008369e-07 ... 4.8497668e-07 4.6215908e-07
 8.8057857e-07]",0.7224,29.9132,34.2774,2025-05-05 09:02:26
data/ct_data/jaw_50.pickle,52,"[7.8130950e-07 7.5077958e-07 7.8775776e-07 ... 9.8111218e-07 5.8973671e-07
 9.0969326e-07]",0.7334,30.0645,32.9101,2025-05-05 09:03:50
data/ct_data/jaw_50.pickle,53,"[5.6328645e-07 6.2616346e-07 3.5699944e-07 ... 6.3308369e-07 2.6266602e-07
 6.8287392e-07]",0.7271,30.0411,33.743,2025-05-05 09:05:15
data/ct_data/jaw_50.pickle,54,"[4.6413234e-07 6.4077329e-07 3.2665025e-07 ... 2.3007200e-07 4.2693466e-07
 4.3525796e-07]",0.7308,30.091,33.5534,2025-05-05 09:06:39
data/ct_data/jaw_50.pickle,55,"[5.7025636e-07 5.7735053e-07 6.9968809e-07 ... 6.4262554e-07 2.8996993e-07
 6.8404574e-07]",0.7335,30.172,32.9167,2025-05-05 09:07:53
data/ct_data/jaw_50.pickle,56,"[9.2234637e-07 3.1111603e-07 2.1131916e-07 ... 3.7591863e-07 3.9597018e-07
 4.6580030e-07]",0.734,30.1698,33.1975,2025-05-05 09:09:14
data/ct_data/jaw_50.pickle,57,"[2.1790117e-07 5.0489786e-07 5.7832591e-07 ... 2.9959909e-07 4.9393299e-07
 3.3220996e-07]",0.7356,30.2284,32.7592,2025-05-05 09:10:33
data/ct_data/jaw_50.pickle,58,"[4.8365638e-07 4.7159938e-07 6.7188370e-07 ... 6.8524162e-07 7.6256396e-07
 6.9314478e-07]",0.7361,30.2188,33.0339,2025-05-05 09:11:55
data/ct_data/jaw_50.pickle,59,"[7.6178202e-07 3.9021677e-07 4.9908465e-07 ... 5.8931573e-07 6.4621838e-07
 5.3645238e-07]",0.7414,30.3374,32.0262,2025-05-05 09:13:13
data/ct_data/jaw_50.pickle,60,"[3.6718535e-07 4.3743631e-07 4.1871834e-07 ... 3.0099855e-07 3.3624849e-07
 2.8783495e-07]",0.7386,30.2844,32.6585,2025-05-05 09:14:34
data/ct_data/jaw_50.pickle,61,"[6.7275744e-07 5.7926820e-07 4.1017265e-07 ... 4.6931308e-07 3.8766584e-07
 5.7830118e-07]",0.7405,30.3363,32.3936,2025-05-05 09:16:10
data/ct_data/jaw_50.pickle,62,"[5.7221882e-07 4.3763990e-07 4.1244442e-07 ... 3.7889680e-07 6.9163542e-07
 3.2875658e-07]",0.7434,30.3744,31.9057,2025-05-05 09:17:28
data/ct_data/jaw_50.pickle,63,"[2.0491768e-07 8.9137052e-07 4.2684655e-07 ... 5.8457925e-07 2.2636127e-07
 5.8697947e-07]",0.7442,30.4142,31.934,2025-05-05 09:18:51
data/ct_data/jaw_50.pickle,64,"[3.1706765e-07 4.8929320e-07 5.5995775e-07 ... 5.2299714e-07 4.6376201e-07
 4.2620707e-07]",0.7379,30.251,33.2844,2025-05-05 09:20:10
