dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/chest_50.pickle,10,"[3.8292728e-06 4.9100154e-06 5.0686945e-06 ... 2.9532623e-06 3.8608709e-06
 2.9489920e-06]",0.5852,15.7425,80.8004,2025-05-09 12:03:34
data/ct_data/chest_50.pickle,20,"[7.7742357e-07 1.1401180e-06 4.8247921e-07 ... 4.8743976e-07 4.7758311e-07
 4.5658049e-07]",0.7537,23.7724,68.3127,2025-05-09 12:07:21
data/ct_data/chest_50.pickle,30,"[5.9112898e-07 5.4258931e-07 6.0414641e-07 ... 5.2194088e-07 7.0221023e-07
 6.7181230e-07]",0.7986,25.3143,63.0539,2025-05-09 12:11:06
data/ct_data/chest_50.pickle,40,"[4.7205415e-07 1.9028684e-07 1.3106393e-07 ... 2.8174642e-07 2.7248174e-07
 9.8457633e-07]",0.8286,26.9008,51.1308,2025-05-09 12:14:54
